restaurant_name,cuisine_type,location,Title,Date,Rating,Review
Sakura Sushi Bar,Japanese,Los Angeles,Sauce had an odd chemical taste,2024-03-02,2,The sauce had a strange artificial flavor - almost like they used sauce mix rather than real tomatoes. Had an unpleasant chemical aftertaste that lingered long after eating. Very disappointing.
Sakura Sushi Bar,Japanese,Los Angeles,Spicy special was too much,2024-02-10,2,Their 'Firebreather' pizza should come with a warning label. It wasn't enjoyably spicy - it was painfully hot to the point where I couldn't taste anything else. Had to throw most of it away.
Sakura Sushi Bar,Japanese,Los Angeles,Bad experience,2023-12-04,2,Skip the Tuna Nigiri - fishy smell and disappointing.
Sakura Sushi Bar,Japanese,Los Angeles,Best Japanese in Los Angeles,2024-02-03,5,The Dragon Roll exceeded my expectations with its perfect rice.
Burger Junction,American,Chicago,Great Chicken Wings at Burger Junction,2024-12-05,5,"The Chicken Wings here is outstanding, definitely try it! Great service too."
Burger Junction,American,Chicago,Love this place!,2024-04-20,5,"Their Classic Cheeseburger is incredible, classic American and perfectly prepared. Great service too."
Spice Garden,Indian,San Francisco,Best Indian in San Francisco,2025-07-18,5,Amazing Tandoori Chicken! The creamy curry makes it special.
Burger Junction,American,Chicago,Perfect crust-to-topping ratio,2024-02-05,5,"Some places overload toppings so the crust gets soggy, others are too sparse. This place gets it perfect - enough toppings to get some in every bite, but not so much that the structural integrity is compromised."
Tony's Pizzeria,Italian,New York,Great Tiramisu at Tony's Pizzeria,2025-03-08,5,"Best Tiramisu I've had in a long time, crispy crust."
Spice Garden,Indian,San Francisco,Sauce like ketchup,2024-01-27,2,"The sauce was suspiciously sweet and one-dimensional, reminiscent of ketchup rather than a proper pizza sauce. No evidence of herbs, garlic, or any complexity. Ruined what otherwise could have been a decent pizza."
Sakura Sushi Bar,Japanese,Los Angeles,Too expensive for pizza,2024-02-19,3,"The pizza is good, I'll give them that. But $30 for a basic large cheese pizza is highway robbery. Add toppings and you're looking at $40-50. The quality doesn't justify these premium prices."
Spice Garden,Indian,San Francisco,Fantastic Butter Chicken,2024-08-25,4,Their Butter Chicken is fine for the price.
Le Petit Cafe,French,Boston,Terrible Croissant,2024-03-03,2,"Regret ordering the Croissant, it was too rich. Won't be returning."
Le Petit Cafe,French,Boston,Authentic coal-fired perfection,2024-01-03,5,Their coal-fired oven gives the pizza a distinctive char and smoky flavor that's impossible to replicate any other way. The slight bitterness of the charred spots perfectly balances the sweetness of the sauce.
Le Petit Cafe,French,Boston,Amazing Escargot,2024-01-16,5,The Escargot is the best that you can have in the city!
Tony's Pizzeria,Italian,New York,Fantastic Margherita Pizza,2024-07-24,5,Perfect Margherita Pizza with crispy crust. Highly recommend!
Burger Junction,American,Chicago,Righteous ranch drizzle,2024-02-03,5,Their house-made ranch drizzle takes their pizzas to another level. It's not your typical ranch - has hints of dill and garlic with a perfect consistency that adds creaminess without making things soggy.
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2025-02-27,4,The Tuna Nigiri is the best that you can have in the city!
Sakura Sushi Bar,Japanese,Los Angeles,Family night favorite,2024-03-10,5,"We bring our kids here every Friday night. The staff always make them feel special, providing dough for them to play with while we wait. Their kid-sized pizzas are perfect, and the parents love the craft beer selection."
Sakura Sushi Bar,Japanese,Los Angeles,Poor service and food,2024-01-10,2,"Regret ordering the Chicken Teriyaki, it was not fresh. Save your money and go elsewhere."
Burger Junction,American,Chicago,Could be better,2024-04-26,3,"Their BBQ Bacon Burger is okay, not bad but not amazing either."
Tony's Pizzeria,Italian,New York,Mixed feelings,2024-03-23,3,"The Spaghetti Carbonara was average, I've had better elsewhere."
Sakura Sushi Bar,Japanese,Los Angeles,Disappointed with Tuna Nigiri,2024-03-09,2,Disappointed with the Tuna Nigiri - slow service.
Burger Junction,American,Chicago,Disappointed with BBQ Bacon Burger,2025-06-26,1,The BBQ Bacon Burger was poorly made and unhealthy.
Spice Garden,Indian,San Francisco,Excellent Indian food,2024-02-07,5,I absolutely love their Mango Lassi - perfect heat level. Exceeded all expectations.
Tony's Pizzeria,Italian,New York,Perfect for late-night cravings,2024-03-07,5,"Open until 3am on weekends, this place has saved many late nights. The slices are huge, they reheat them perfectly so they're crispy, and their special late-night menu items are creative and delicious."
Tony's Pizzeria,Italian,New York,Excellent Italian food,2025-02-06,4,"The Spaghetti Carbonara was average, I've had better elsewhere."
Le Petit Cafe,French,Boston,Perfect sauce-to-cheese ratio,2024-02-26,5,They've perfected the ratio of sauce to cheese - enough sauce to be flavorful and moist but not so much that it makes the crust soggy. The cheese covers evenly but isn't overwhelming. Technical perfection!
Burger Junction,American,Chicago,Amazing Chocolate Shake,2025-07-08,5,"Best Chocolate Shake I've had in a long time, perfectly cooked."
Le Petit Cafe,French,Boston,Amazing Croissant,2024-11-23,4,I absolutely love their Croissant - authentic French.
Burger Junction,American,Chicago,Love this place!,2023-10-10,5,Perfect Loaded Fries with perfectly cooked. Highly recommend!
Tony's Pizzeria,Italian,New York,Fantastic Tiramisu,2024-06-07,5,Amazing Tiramisu! The crispy crust makes it special. Exceeded all expectations.
Tony's Pizzeria,Italian,New York,Excellent for takeout,2024-01-13,4,"Their pizza travels remarkably well. Even after a 20-minute drive home, the crust was still crispy and everything was at the perfect temperature. They have their packaging technique down to a science."
Burger Junction,American,Chicago,Poor service and food,2024-04-25,2,The Chocolate Shake was poorly made and unhealthy.
Spice Garden,Indian,San Francisco,Too much garlic,2024-03-08,3,"I love garlic but this was excessive - felt like they mistook cloves for teaspoons in the recipe. My breath was lethal afterward, and the powerful flavor overwhelmed the other ingredients."
Le Petit Cafe,French,Boston,Burned bottom raw top,2024-01-20,1,The bottom of the crust was completely black while the cheese on top wasn't fully melted. This temperature imbalance suggests serious issues with their oven management and pizza-making technique.
Spice Garden,Indian,San Francisco,Perfect balance of flavors,2024-01-16,5,"Their 'Mediterranean' pizza has the perfect balance of flavors - the briny olives, tangy feta, fresh tomatoes, and herb-infused olive oil all complement each other without any one element overwhelming the others."
Le Petit Cafe,French,Boston,Brilliant buffalo chicken pizza,2024-02-15,5,"Their buffalo chicken pizza balances spicy and creamy perfectly - the chicken is actually high-quality and juicy (not the dry cubes many places use), and the blue cheese is distributed perfectly for balanced bites."
Burger Junction,American,Chicago,Perfect for lunch specials,2024-03-12,4,"Their lunch deal is unbeatable - $10 for a 10-inch pizza and small salad. The pizza comes out quickly, is always fresh, and the perfect size for one person. Great place for a work lunch."
Sakura Sushi Bar,Japanese,Los Angeles,Love this place!,2025-08-27,4,Perfect California Roll with beautiful presentation. Highly recommend!
Tony's Pizzeria,Italian,New York,Amazing Margherita Pizza,2023-12-02,5,"The Margherita Pizza here is outstanding, definitely try it! Exceeded all expectations."
Burger Junction,American,Chicago,Love this place!,2025-03-03,4,Decent Classic Cheeseburger but the service was slow.
Sakura Sushi Bar,Japanese,Los Angeles,Love this place!,2025-07-10,5,The Tuna Nigiri is the best that you can have in the city!
Sakura Sushi Bar,Japanese,Los Angeles,Poor service and food,2023-12-24,2,Disappointed with the Dragon Roll - fishy smell.
Tony's Pizzeria,Italian,New York,Amazing Spaghetti Carbonara,2024-11-30,5,"Their Spaghetti Carbonara is incredible, authentic Italian and perfectly prepared."
Le Petit Cafe,French,Boston,Could be better,2023-10-07,3,"Avoid the Beef Bourguignon, it was pretentious when it arrived. Much better options nearby."
Spice Garden,Indian,San Francisco,Amazing Chicken Tikka Masala,2024-12-19,5,Been coming here for years and the Chicken Tikka Masala never disappoints.
Burger Junction,American,Chicago,Expert-level pizza folding,2024-03-10,5,Their thin-crust slices fold perfectly New York-style without cracking or losing toppings. The slight resistance before the fold is exactly what you want - showing the perfect balance of crisp and chew.
Le Petit Cafe,French,Boston,Excellent French food,2024-05-25,5,"Their Coq au Vin is incredible, romantic atmosphere and perfectly prepared. The staff was very friendly."
Burger Junction,American,Chicago,Great Chocolate Shake at Burger Junction,2023-09-02,4,The Chocolate Shake is the best that you can have in the city!
Tony's Pizzeria,Italian,New York,Great Spaghetti Carbonara at Tony's Pizzeria,2025-03-02,5,Been coming here for years and the Spaghetti Carbonara never disappoints.
Le Petit Cafe,French,Boston,Decent French food,2024-09-23,3,The Coq au Vin met expectations but didn't exceed them.
Le Petit Cafe,French,Boston,Excellent French food,2025-05-14,4,I absolutely love their Crème Brûlée - rich flavors.
Tony's Pizzeria,Italian,New York,Fantastic Bruschetta,2024-12-31,5,The Bruschetta exceeded my expectations with its perfect sauce.
Sakura Sushi Bar,Japanese,Los Angeles,Superior ingredients make the difference,2024-03-18,5,"They import their flour from Italy, use San Marzano tomatoes, and make their mozzarella in-house daily. The commitment to quality ingredients is evident in every bite - nothing is an afterthought."
Tony's Pizzeria,Italian,New York,Fair Spaghetti Carbonara,2025-05-21,3,Solid Spaghetti Carbonara but the atmosphere could be better.
Spice Garden,Indian,San Francisco,Disappointed with Tandoori Chicken,2023-12-06,1,"Regret ordering the Tandoori Chicken, it was too spicy."
Sakura Sushi Bar,Japanese,Los Angeles,Unmelted cheese in the center,2024-02-06,2,"The edges were fine but the center had cold, unmelted cheese - a sign the oven wasn't hot enough or the pizza wasn't cooked long enough. Basic pizza fundamentals seem to be lacking."
Tony's Pizzeria,Italian,New York,Love this place!,2024-05-12,5,I absolutely love their Caesar Salad - crispy crust.
Tony's Pizzeria,Italian,New York,Fantastic Bruschetta,2024-11-04,5,Been coming here for years and the Bruschetta never disappoints.
Sakura Sushi Bar,Japanese,Los Angeles,Authentic Italian experience,2024-01-05,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."
Spice Garden,Indian,San Francisco,Exceptional spinach ricotta pie,2024-03-09,5,Their white pizza with spinach and ricotta is exceptional - the creamy richness of the cheese balanced by the slight bitterness of the greens. The garlic-infused olive oil base ties everything together perfectly.
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2024-05-01,4,Decent Miso Soup but the service was slow.
Le Petit Cafe,French,Boston,Amazing Croissant,2024-01-21,5,"Best Croissant I've had in a long time, authentic French. Great service too."
Le Petit Cafe,French,Boston,Fantastic French Onion Soup,2023-09-21,4,Amazing French Onion Soup! The romantic atmosphere makes it special. Exceeded all expectations.
Sakura Sushi Bar,Japanese,Los Angeles,Fantastic Salmon Sashimi,2025-07-11,4,I absolutely love their Salmon Sashimi - perfect rice.
Tony's Pizzeria,Italian,New York,Fair Caesar Salad,2023-10-08,3,"The Caesar Salad was alright, would try other items next time."
Spice Garden,Indian,San Francisco,Excellent Indian food,2025-03-04,5,Been coming here for years and the Samosas never disappoints.
Burger Junction,American,Chicago,Suspiciously uniform toppings,2024-01-30,3,"All the vegetable toppings were cut in precisely identical shapes and sizes, suggesting they came pre-cut from a food service provider rather than being prepared fresh in-house as claimed. Tasted fine but felt deceived by the marketing."
Burger Junction,American,Chicago,Cheese solidified too quickly,2024-01-31,2,"The cheese hardened into a solid mass before we were even halfway through the pizza. By the end, it was like eating a cheese cracker on bread. Suggests poor quality cheese or improper handling."
Spice Garden,Indian,San Francisco,Not worth it,2024-01-31,2,Disappointed with the Samosas - oily. Very disappointing experience.
Spice Garden,Indian,San Francisco,Great Tandoori Chicken at Spice Garden,2024-08-19,5,Been coming here for years and the Tandoori Chicken never disappoints.
Le Petit Cafe,French,Boston,Best French in Boston,2023-10-02,5,Been coming here for years and the Croissant never disappoints.
Sakura Sushi Bar,Japanese,Los Angeles,Great Tuna Nigiri at Sakura Sushi Bar,2025-04-02,5,"Best Tuna Nigiri I've had in a long time, fresh fish. Perfect for a date night."
Sakura Sushi Bar,Japanese,Los Angeles,Refrigerated dough taste,2024-02-16,2,"The crust had that distinctive 'refrigerator' taste that comes from dough that's been sitting around too long. Fresh dough has a sweet, yeasty flavor - this had none of that. Clearly not made fresh daily as advertised."
Tony's Pizzeria,Italian,New York,All style no substance,2024-02-21,3,"The restaurant looks trendy and their branding is cool, but the pizza itself is just average. Seems like they invested more in Instagram-worthy décor than in developing a distinctive, delicious product."
Le Petit Cafe,French,Boston,Excellent French food,2025-03-23,5,I absolutely love their Croissant - romantic atmosphere.
Burger Junction,American,Chicago,Great BBQ Bacon Burger at Burger Junction,2024-06-10,5,"Their BBQ Bacon Burger is incredible, classic American and perfectly prepared."
Tony's Pizzeria,Italian,New York,No flavor distinction,2024-01-17,3,Ordered two completely different specialty pizzas but they somehow tasted nearly identical. It's like they use the same base for everything and the toppings don't impart enough distinctive character.
Burger Junction,American,Chicago,Way too much oregano,2024-03-06,2,"Do they measure their oregano with a shovel? It was completely overpowering - couldn't taste anything else. My entire car smelled like an Italian herb garden on the drive home, and not in a good way."
Spice Garden,Indian,San Francisco,New owners ruined it,2024-03-03,2,"This used to be our favorite place, but it changed hands three months ago and it's not the same. The dough doesn't have the same flavor, the sauce is too sweet now, and they seem to use lower quality cheese."
Burger Junction,American,Chicago,Magnificent flavor layering,2024-01-15,5,"The thoughtful layering of ingredients creates a perfect progression of flavors - the spicy soppressata reveals the sweetness of the roasted red peppers, which contrasts with the brininess of the olives. Every bite is a journey."
Spice Garden,Indian,San Francisco,Not enough cheese,2024-01-28,3,"The sauce and crust were good, but they're stingy with cheese. You could see the sauce through the sparse cheese layer, and what was there didn't have that stretchy pull you want from a good pizza."
Spice Garden,Indian,San Francisco,Amazing Naan Bread,2024-05-02,4,Been coming here for years and the Naan Bread never disappoints. A hidden gem in the neighborhood.
Burger Junction,American,Chicago,Masterful use of olive oil,2024-02-28,5,"The drizzle of high-quality olive oil they add just before serving makes all the difference - adds richness, enhances the flavors of the other ingredients, and adds a wonderful aromatic element. Simple but transformative."
Burger Junction,American,Chicago,Amazing Fish Sandwich,2025-06-05,5,Amazing Fish Sandwich! The crispy fries makes it special.
Le Petit Cafe,French,Boston,Great Coq au Vin at Le Petit Cafe,2023-12-08,5,Their Coq au Vin is a must-try - rich flavors.
Spice Garden,Indian,San Francisco,Best Indian in San Francisco,2024-11-17,5,"Best Chicken Tikka Masala I've had in a long time, rich spices."
Sakura Sushi Bar,Japanese,Los Angeles,Could be better,2025-02-26,3,The Dragon Roll met expectations but didn't exceed them.
Le Petit Cafe,French,Boston,Excellent French food,2023-10-12,5,The Croque Monsieur exceeded my expectations with its elegant presentation.
Spice Garden,Indian,San Francisco,Love this place!,2024-05-28,5,I absolutely love their Tandoori Chicken - creamy curry.
Burger Junction,American,Chicago,Poor service and food,2024-10-24,1,"Avoid the BBQ Bacon Burger, it was unhealthy when it arrived."
Sakura Sushi Bar,Japanese,Los Angeles,Fantastic Salmon Sashimi,2024-09-28,4,"Fair Salmon Sashimi, nothing to write home about."
Spice Garden,Indian,San Francisco,Amazing Butter Chicken,2024-09-06,5,Their Butter Chicken is a must-try - creamy curry.
Spice Garden,Indian,San Francisco,Bad experience,2025-03-02,1,The Chicken Tikka Masala was cold food and ruined our meal.
Sakura Sushi Bar,Japanese,Los Angeles,Okay experience,2024-11-11,3,Their Edamame is fine for the price.
Le Petit Cafe,French,Boston,Love this place!,2024-07-02,4,"The Ratatouille was alright, would try other items next time."
Le Petit Cafe,French,Boston,Perfect textural contrast,2024-01-18,5,"The contrast between the crisp bottom, the tender interior crumb, the gooey cheese, and the slight resistance of the toppings creates a textural symphony. Each bite is interesting and satisfying in a different way."
Tony's Pizzeria,Italian,New York,Best Italian in New York,2025-02-26,5,"Best Garlic Bread I've had in a long time, family recipe."
Sakura Sushi Bar,Japanese,Los Angeles,Great California Roll at Sakura Sushi Bar,2025-07-01,5,"Best California Roll I've had in a long time, beautiful presentation."
Tony's Pizzeria,Italian,New York,Too much cheese,2024-03-04,2,"There is such a thing as too much cheese, and this place proves it. The excessive cheese made the pizza so heavy and greasy that it was unpleasant to eat. Quality should matter more than quantity."
Le Petit Cafe,French,Boston,Late night savior,2024-01-15,4,"Open until 2am on weekends, this place has saved me many times after a night out. Their slices are huge, reheated perfectly crisp, and they have creative toppings that hit the spot when you're hungry late at night."
Tony's Pizzeria,Italian,New York,Disappointed with Tiramisu,2023-12-21,1,"The Tiramisu takes the longest to arrive, don't order it. Much better options nearby."
Spice Garden,Indian,San Francisco,Great Mango Lassi at Spice Garden,2023-10-03,5,Amazing Mango Lassi! The fresh naan makes it special.
Spice Garden,Indian,San Francisco,Excellent Indian food,2024-05-22,5,The Naan Bread is the best that you can have in the city!
Le Petit Cafe,French,Boston,Inconsistent quality,2024-02-08,3,I've been here three times. First visit: amazing. Second: terrible. Third: just okay. Seems like it really depends on who's working that day. Wish they could maintain better quality control.
Spice Garden,Indian,San Francisco,Epic meat lovers option,2024-02-22,4,"If you're a carnivore, their 'Butcher's Block' pizza is incredible. Five different meats, all high quality - the soppressata and house-made sausage are standouts. Just be ready for a food coma afterward!"
Tony's Pizzeria,Italian,New York,Great Bruschetta at Tony's Pizzeria,2023-11-19,4,"The Bruschetta was average, I've had better elsewhere."
Sakura Sushi Bar,Japanese,Los Angeles,Love this place!,2024-04-24,4,Their Dragon Roll is a must-try - perfect rice.
Le Petit Cafe,French,Boston,Fantastic Croque Monsieur,2024-02-09,5,Perfect Croque Monsieur with romantic atmosphere. Highly recommend!
Le Petit Cafe,French,Boston,Fantastic Coq au Vin,2024-02-18,5,The Coq au Vin exceeded my expectations with its romantic atmosphere.
Tony's Pizzeria,Italian,New York,Not worth the wait,2024-03-14,3,"90-minute wait on a Thursday night with no option to call ahead. The pizza was good when we finally got it, but nothing special enough to justify such a long wait. Many comparable options with better systems."
Spice Garden,Indian,San Francisco,Great Chicken Tikka Masala at Spice Garden,2025-05-13,4,The Chicken Tikka Masala exceeded my expectations with its fresh naan.
Le Petit Cafe,French,Boston,Great Coq au Vin at Le Petit Cafe,2024-10-03,4,Amazing Coq au Vin! The rich flavors makes it special.
Spice Garden,Indian,San Francisco,Too much emphasis on appearance,2024-02-14,3,"The pizza was clearly designed to look good in photos - perfect symmetry, vibrant colors, photogenic cheese pull - but the flavor was underwhelming. Style over substance for the Instagram crowd."
Spice Garden,Indian,San Francisco,Fresh ingredients make the difference,2024-03-04,5,"You can taste the difference in their sauce - clearly made from fresh tomatoes, not canned. Same with their vegetable toppings - all crisp and fresh. Makes other pizza places seem processed in comparison."
Le Petit Cafe,French,Boston,Excellent French food,2025-03-03,5,Been coming here for years and the Ratatouille never disappoints.
Burger Junction,American,Chicago,Crust like cardboard,2024-02-12,2,"The crust had all the flavor and texture of packing material - dry, tough, and completely devoid of character. Even the decent toppings couldn't save it. The foundation of good pizza is good dough, and this wasn't it."
Sakura Sushi Bar,Japanese,Los Angeles,Excellent Japanese food,2023-11-13,5,Been coming here for years and the California Roll never disappoints. Authentic and delicious.
Tony's Pizzeria,Italian,New York,Not worth it,2023-09-01,2,"Avoid the Lasagna, it was too salty when it arrived."
Spice Garden,Indian,San Francisco,Perfect for kids' parties,2024-01-11,5,"Hosted my son's birthday here and it was fantastic. They did a dough-tossing demonstration for the kids, let them make their own mini pizzas, and the staff was incredibly patient and kind."
Spice Garden,Indian,San Francisco,Best Indian in San Francisco,2024-06-07,4,"The Biryani was alright, would try other items next time."
Le Petit Cafe,French,Boston,Great Ratatouille at Le Petit Cafe,2023-12-22,4,"Their Ratatouille is okay, not bad but not amazing either."
Tony's Pizzeria,Italian,New York,Great Lasagna at Tony's Pizzeria,2024-01-14,4,The Lasagna exceeded my expectations with its fresh mozzarella.
